Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,112743921,3,0,4380.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,38.84910123003439,0.026608973445229,56371960.5,36766456.20110565,82369771.0,30374150.0,112743921.0,56371960.5,36766456.20110565,82369771.0,30374150.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.026608973445229,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,3,0.0,1946.6666666666667,1460.0,0.0,0,0,0,1,2190,0,0,512,0,2,20,0.0,0.0,0.0,0.0,56371960.5,36766456.20110565,82369771.0,30374150.0,DDoS-ACK_Fragmentation
6,105497741,2,0,2920.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,27.678317775543647,0.0189577519010572,105497741.0,0.0,105497741.0,105497741.0,105497741.0,105497741.0,0.0,105497741.0,105497741.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.0189577519010572,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,2,0.0,2190.0,1460.0,0.0,0,0,0,2,2920,0,0,512,0,1,20,0.0,0.0,0.0,0.0,105497741.0,0.0,105497741.0,105497741.0,DDoS-ACK_Fragmentation
6,3198249,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,456.4997909793765,0.6253421794238034,3198249.0,0.0,3198249.0,3198249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,0.3126710897119017,0.3126710897119017,0.0,1460.0,973.3333333333331,842.9313930168537,710533.3333333334,0,0,1,0,1,1.0,1460.0,1460.0,0.0,0,0,0,1,1460,1,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS-ACK_Fragmentation
6,3896613,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,374.6843733262708,0.513266264830508,3896613.0,0.0,3896613.0,3896613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,0.256633132415254,0.256633132415254,0.0,1460.0,973.3333333333331,842.9313930168537,710533.3333333334,0,0,1,0,1,1.0,1460.0,1460.0,0.0,0,0,0,1,1460,1,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS-ACK_Fragmentation
6,5040967,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,289.6269703808813,0.3967492744943579,5040967.0,0.0,5040967.0,5040967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,0.1983746372471789,0.1983746372471789,0.0,1460.0,973.3333333333331,842.9313930168537,710533.3333333334,0,0,1,0,1,1.0,1460.0,1460.0,0.0,0,0,0,1,1460,1,0,512,0,0,20,0.0,0.0,0.0,0.0,5040967.0,0.0,5040967.0,5040967.0,DDoS-ACK_Fragmentation
6,95273330,2,0,2920.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,30.648661068107938,0.0209922336082931,95273330.0,0.0,95273330.0,95273330.0,95273330.0,95273330.0,0.0,95273330.0,95273330.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.0209922336082931,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,2,0.0,2190.0,1460.0,0.0,0,0,0,2,2920,0,0,512,0,1,20,0.0,0.0,0.0,0.0,95273330.0,0.0,95273330.0,95273330.0,DDoS-ACK_Fragmentation
6,95902728,2,0,2920.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,30.44751761388894,0.020854464119102,95902728.0,0.0,95902728.0,95902728.0,95902728.0,95902728.0,0.0,95902728.0,95902728.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.020854464119102,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,2,0.0,2190.0,1460.0,0.0,0,0,0,2,2920,0,0,512,0,1,20,0.0,0.0,0.0,0.0,95902728.0,0.0,95902728.0,95902728.0,DDoS-ACK_Fragmentation
6,15502314,2,0,2920.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,188.3589766018157,0.1290129976724765,15502314.0,0.0,15502314.0,15502314.0,15502314.0,15502314.0,0.0,15502314.0,15502314.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.1290129976724765,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,2,0.0,2190.0,1460.0,0.0,0,0,0,2,2920,0,0,512,0,1,20,0.0,0.0,0.0,0.0,15502314.0,0.0,15502314.0,15502314.0,DDoS-ACK_Fragmentation
6,48121547,2,0,2920.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,60.67967848165812,0.041561423617574,48121547.0,0.0,48121547.0,48121547.0,48121547.0,48121547.0,0.0,48121547.0,48121547.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.041561423617574,0.0,1460.0,1460.0,1460.0,0.0,0.0,0,0,0,0,2,0.0,2190.0,1460.0,0.0,0,0,0,2,2920,0,0,512,0,1,20,0.0,0.0,0.0,0.0,48121547.0,0.0,48121547.0,48121547.0,DDoS-ACK_Fragmentation
6,940412,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126727434358558,940412.0,0.0,940412.0,940412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,1.063363717179279,1.063363717179279,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,26847,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS-ACK_Fragmentation
