Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,1583,1,1,1448.0,0.0,1448.0,1448.0,1448.0,0.0,0.0,0.0,0.0,0.0,914718.8881869868,1263.4238787113077,1583.0,0.0,1583.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,20,631.7119393556538,631.7119393556538,0.0,1448.0,965.3333333333331,836.0031897865781,698901.3333333334,0,0,1,0,1,1.0,1448.0,1448.0,0.0,0,0,0,0,0,0,0,398,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,2990190,9,2,4268.0,1448.0,1448.0,0.0,474.22222222222223,711.6715846824604,1448.0,0.0,724.0,1023.8906191581208,1911.584213712172,3.678696002595153,299018.99999999994,586059.0234937471,1621361.0,0.0,2954604.0,369325.5,677116.1545246766,1718986.0,0.0,1665010.0,1665010.0,0.0,1665010.0,1665010.0,0,324,52,3.0098421839414886,0.6688538186536641,0.0,1448.0,476.3333333333333,703.8707698193331,495434.0606060606,0,0,1,2,10,0.0,519.6363636363636,474.22222222222223,724.0,0,0,0,4,2134,1,724,388,0,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,645952,5,1,7475.0,0.0,1683.0,1448.0,1495.0,105.0951949424901,0.0,0.0,0.0,0.0,11572.06727434856,9.288615872386805,129190.4,260837.3870561887,594129.0,254.0,51823.0,12955.75,25394.833678985444,51048.0,254.0,0.0,0.0,0.0,0.0,0.0,0,160,20,7.740513226989003,1.5481026453978006,0.0,1683.0,1274.7142857142858,568.878052042121,323622.2380952381,0,0,1,3,5,0.0,1487.1666666666667,1495.0,0.0,7475,5,144240,0,0,0,0,298,0,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,14012,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.73479874393377,14012.0,0.0,14012.0,14012.0,14012.0,14012.0,0.0,14012.0,14012.0,0.0,0.0,0.0,0.0,0.0,0,40,0,142.73479874393377,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,3220,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.1180124223602,3220.0,0.0,3220.0,3220.0,3220.0,3220.0,0.0,3220.0,3220.0,0.0,0.0,0.0,0.0,0.0,0,40,0,621.1180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,147133,2,2,0.0,4580.0,0.0,0.0,0.0,0.0,2896.0,1684.0,2290.0,857.0134187980956,31128.29888604188,27.1862872367178,49044.333333333336,62513.80191072475,119587.0,515.0,147133.0,147133.0,0.0,147133.0,147133.0,515.0,515.0,0.0,515.0,515.0,0,40,64,13.593143618358898,13.593143618358898,0.0,2896.0,916.0,1325.4614290879988,1756848.0,0,0,2,2,2,1.0,1145.0,0.0,2290.0,0,0,0,0,0,0,0,0,344,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS-HTTP_Flood
6,32890171,28,15,34228.0,0.0,2896.0,0.0,1222.428571428571,934.5909554282312,0.0,0.0,0.0,0.0,1040.6756474449464,1.3073814666393797,783099.3095238094,1211536.8040532991,6043060.0,0.0,32890171.0,1218154.4814814816,1368738.4473386535,6043060.0,442.0,18818618.0,1344187.0,1251480.640093596,4271530.0,0.0,0,908,564,0.8513181643233171,0.4560633023160627,0.0,2896.0,777.9090909090909,949.8890955626988,902289.2938689216,0,6,1,7,39,0.0,796.0,1222.428571428571,0.0,7240,4,22336,2,2852,1,0,64240,400,21,20,24706367.0,0.0,24706367.0,24706367.0,6043060.0,0.0,6043060.0,6043060.0,DoS-HTTP_Flood
