Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,181351,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.542505969087568,90675.5,20000.515305861496,104818.0,76533.0,76533.0,76533.0,0.0,76533.0,76533.0,0.0,0.0,0.0,0.0,0.0,1,64,32,11.028337312725046,5.514168656362523,0.0,0.0,0.0,0.0,0.0,2,0,0,1,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1818,191,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
6,119534844,124,124,11508.0,222.0,218.0,0.0,92.80645161290326,28.11349744386306,74.0,0.0,1.790322580645161,11.416201718772912,98.13038280285872,2.0747088606231,483946.7368421055,511474.1763684698,5332930.0,12490.0,119379198.0,970562.5853658532,566389.9757963058,5489718.0,28369.0,119367989.0,970471.455284553,563733.9534870028,5489504.0,28427.0,1,3968,4004,1.0373544303115498,1.0373544303115498,0.0,218.0,47.46987951807225,50.3482238569539,2534.9436455499417,0,0,0,124,248,1.0,47.66129032258065,92.80645161290325,1.7903225806451613,556,5,297,15,1438,15,27,2881,368,120,32,105906384.0,0.0,105906384.0,105906384.0,5332930.0,0.0,5332930.0,5332930.0,DNS_Spoofing
6,141539,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13038102572436,141539.0,0.0,141539.0,141539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,7.06519051286218,7.06519051286218,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
0,115019286,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695535529580665,16431326.571428573,6280217.03303447,25015934.0,9985469.0,115019286.0,16431326.571428573,6280217.03303447,25015934.0,9985469.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0695535529580665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16431326.571428573,6280217.03303447,25015934.0,9985469.0,DNS_Spoofing
6,117294535,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2046131134754061,5099762.391304349,5979895.403031498,16536621.0,90631.0,117103073.0,10645733.909090908,4144310.817221157,16645737.0,4449432.0,117185419.0,10653219.90909091,4146316.566932546,16737234.0,4544690.0,0,384,384,0.102306556737703,0.102306556737703,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1124,219,0,32,150223.09999999998,49238.1127096796,200613.0,90631.0,11115140.999999998,3803038.934495412,16536621.0,5168036.0,DNS_Spoofing
6,104250,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.18465227817746,104250.0,0.0,104250.0,104250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,9.59232613908873,9.59232613908873,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
6,104505,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13784029472274,104505.0,0.0,104505.0,104505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,9.56892014736137,9.56892014736137,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
6,104560,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12777352716144,104560.0,0.0,104560.0,104560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,9.56388676358072,9.56388676358072,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
6,105434,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.969212967353982,105434.0,0.0,105434.0,105434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,9.484606483676991,9.484606483676991,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
6,104900,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.065776930409918,104900.0,0.0,104900.0,104900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,20,9.532888465204955,9.532888465204955,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNS_Spoofing
