Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,189872,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.600235948428413,37974.4,34740.82369201974,76497.0,3.0,133955.0,66977.5,94716.24623315684,133952.0,3.0,113375.0,56687.5,76984.83658812298,111124.0,2251.0,0,104,104,15.800117974214206,15.800117974214206,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14600,1029,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,33376976,13,16,93.0,105.0,31.0,0.0,7.153846153846154,13.594399299258953,35.0,0.0,6.5625,14.10895105952246,5.932233045917641,0.8688624158162201,1192034.8571428573,1411108.0535290337,3088124.0,32463.0,30288852.0,2524071.0000000005,1015158.5391693976,3097284.0,834402.0,30346261.0,2023084.066666667,1341120.611048167,3141863.0,86591.0,0,416,512,0.3894900484693401,0.4793723673468801,0.0,35.0,6.6,13.456443143303712,181.0758620689655,1,0,0,7,29,1.0,6.827586206896552,7.153846153846154,6.5625,0,0,0,1,9,1,10,179,1818,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,1452721,13,13,2351.0,7010.0,1448.0,0.0,180.84615384615384,400.4420153933746,1448.0,0.0,539.2307692307693,694.7034323899364,6443.770001259705,17.897448993991276,58108.84,181371.36297035243,920070.0,1.0,1343560.0,111963.33333333331,281746.2148863546,997363.0,280.0,1375428.0,114619.00000000004,275684.25183202216,974626.0,1.0,0,432,432,8.948724496995638,8.948724496995638,0.0,1448.0,346.7037037037037,577.637217452057,333664.754985755,1,4,0,7,24,1.0,360.03846153846155,180.84615384615384,539.2307692307693,9361,12,26260,0,0,0,0,14600,134,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,227286,11,11,1232.0,4633.0,913.0,0.0,112.0,272.224172328616,1448.0,0.0,421.1818181818181,661.69355719726,25804.49301760777,96.79434721012294,10823.142857142857,18580.781760425783,64623.0,1.0,197915.0,19791.5,27721.54168893049,67289.0,2.0,205381.0,20538.1,31845.787045454606,97520.0,1.0,0,360,360,48.39717360506147,48.39717360506147,0.0,1448.0,255.00000000000003,509.59823747376095,259690.36363636365,1,2,0,8,21,1.0,266.59090909090907,112.0,421.1818181818182,5865,11,44900,0,0,0,0,29200,117,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,3,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,10333333.333333334,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,64,0,666666.6666666666,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,1,2,0.0,31.0,15.5,0.0,0,0,0,0,0,0,0,319,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,1251923,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3963135112942253,625961.5,525274.979511208,997387.0,254536.0,997387.0,997387.0,0.0,997387.0,997387.0,0.0,0.0,0.0,0.0,0.0,0,80,20,1.5975423408628169,0.7987711704314084,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14600,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,223162,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.962099282135847,223162.0,0.0,223162.0,223162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,32,4.481049641067924,4.481049641067924,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1959,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,63007,7,4,208.0,1504.0,208.0,0.0,29.71428571428572,78.61661038591926,1504.0,0.0,376.0,751.9999999999999,27171.5841097021,174.5837764057962,6300.699999999999,6100.536990025276,18873.0,1.0,34381.0,5730.166666666666,7787.199789826036,18873.0,1.0,22992.0,7664.0,3447.699377846044,11058.0,4165.0,0,232,136,111.09876680368848,63.48500960210771,0.0,1504.0,142.66666666666669,432.8588544534903,187366.7878787879,2,2,0,2,10,0.0,155.63636363636363,29.714285714285715,376.0,0,0,0,0,0,0,0,64240,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,285376,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.512446736936532,142688.0,152436.66567463355,250477.0,34899.0,285376.0,285376.0,0.0,285376.0,285376.0,0.0,0.0,0.0,0.0,0.0,0,60,40,7.008297824624354,3.504148912312177,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14600,14600,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
6,167620,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.79525116334567,33524.0,33768.179718486455,77226.0,3.0,112453.0,56226.5,79512.03622408371,112450.0,3.0,90394.0,45197.0,63042.81218346783,89775.0,619.0,0,104,104,17.897625581672834,17.897625581672834,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14600,1029,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backdoor_Malware
